count,word,category
52,limestones,material
52,shelf,other
52,garber,other
51,tr,other
51,crevice,material
51,fg,other
50,med,other
50,spring,other
50,brick,material
50,hydrocarbon,material
49,gummy,wetness
49,crumbly,strength
49,18,other
49,80,other
49,h,other
49,moderately,other
49,log,other
48,seam,other
48,cementation,strength
47,granulated,grainsize
47,70%,other
47,16,other
47,false,other
47,spots,other
47,packed,strength
47,calcareous,material
47,7',other
47,returns,other
46,sc,other
46,sat,other
46,then,other
46,city,other
46,fairlyloose,strength
45,find,other
45,reported,other
45,rubble,material
45,e,other
45,lose,other
45,stained,color
44,"2""",other
44,open,other
44,nod,other
44,silica,material
44,17,other
43,shalestone,material
43,flakes,other
43,9,other
43,scattered,other
43,limes,material
43,swelling,other
42,see,other
42,sshd,other
42,ledge,other
42,elk,other
42,non,other
42,encountered,other
42,broke,strength
41,colors,other
41,burden,other
41,mag,other
41,rust,color
40,perf,other
40,14,other
40,calcite,material
40,blind,other
39,waste,other
39,beige,color
39,portland,other
39,shelves,other
39,13,other
39,chickasha,other
39,back,other
39,becoming,other
38,wr,other
38,bedded,other
38,ch,other
38,hand,other
38,rb,other
38,gn,other
38,blackish,color
37,carbonate,material
37,hardrock,material
37,odors.,other
37,14',other
36,inorganic,other
36,st.,other
36,rough,other
36,plas,other
36,type,other
36,orangish,color
35,feet,other
35,vf,other
35,2nd,other
35,level,other
35,weathering,strength
35,90%,other
35,v.,other
35,d,other
35,was,other
35,broen,other
35,runner,other
34,static,other
34,15%,other
34,gc,other
34,40ft,other
33,65,other
33,calcium,material
33,11,other
33,mucky,wetness
33,unc,other
32,100,other
32,old,other
32,vegetation,material
32,qs,other
32,drift,other
32,cay,other
32,down,other
31,23,other
31,odors,other
31,f.,other
31,horizontal,other
31,sat.,other
31,below,other
31,sli,other
30,sl.,other
30,veins,other
30,redshale,material
30,return,other
30,aquifer,wetness
30,cls,other
30,1st.,other
30,giprock,other
30,wellington,other
30,greyish,other
29,vein,other
29,sp,other
29,chlorinated,other
29,sha,other
29,clear,other
29,texture,other
29,pot,other
29,chunks,other
29,joint,other
28,zones,other
28,vfr,other
28,specs,other
28,road,other
27,alluvium,material
